,Year,Type of Offence,UNIT,VALUE
128,2003,Weapons and Explosives Offences,Number,455.0
129,2003,"Explosives, chemical weapons offences",Number,6.0
130,2003,Discharging a firearm,Number,45.0
131,2003,Possession of a firearm,Number,76.0
132,2003,Offensive weapons offences (n.e.c.),Number,328.0
133,2003,Fireworks offences,Number,0.0
134,2003,Damage to property and to the environment,Number,8698.0
135,2003,Arson,Number,359.0
136,2003,Criminal damage (not arson),Number,8317.0
137,2003,Litter offences,Number,22.0
138,2003,Public order and other social code offences,Number,11162.0
139,2003,Disorderly conduct,Number,9232.0
140,2003,Trespass offences,Number,358.0
141,2003,Liquor licensing offences,Number,1111.0
142,2003,Prostitution offences,Number,60.0
143,2003,"Regulated betting/money, collection/trading offences",Number,67.0
144,2003,Social code offences (n.e.c.),Number,334.0
145,2003,"Offences against government, justice procedures and organisation of crime",Number,1623.0
146,2003,Offences against government and its agents,Number,49.0
147,2003,Organisation of crime and conspiracy to commit crime,Number,2.0
148,2003,Perverting the course of justice,Number,59.0
149,2003,"Offences while in custody, breach of court orders",Number,1513.0
150,2003,Homicide offences,Number,29.0
151,2003,Murder,Number,10.0
152,2003,Manslaughter,Number,4.0
153,2003,Infanticide,Number,0.0
154,2003,Dangerous driving leading to death,Number,15.0
155,2003,Sexual offences,Number,339.0
156,2003,Rape of a male or female,Number,70.0
157,2003,Defilement of a boy or girl less than 17 years old,Number,21.0
158,2003,Sexual offence involving mentally impaired person,Number,6.0
159,2003,Aggravated sexual assault,Number,4.0
160,2003,Sexual assault (not aggravated),Number,222.0
161,2003,Other sexual offences,Number,16.0
162,2003,"Attempts/threats to murder, assaults, harassments and related offences",Number,3453.0
163,2003,Murder-attempt,Number,2.0
164,2003,Threat to kill or cause serious harm,Number,16.0
165,2003,Harassment and related offences,Number,228.0
166,2003,"Assault causing harm, poisoning",Number,952.0
167,2003,Other assault,Number,2255.0
168,2003,Dangerous or negligent acts,Number,3039.0
169,2003,Dangerous driving causing serious bodily harm,Number,9.0
170,2003,Driving/in charge of a vehicle while over legal alcohol limit,Number,2908.0
171,2003,Driving/in charge of a vehicle under the influence of drugs,Number,20.0
172,2003,Endangerment with potential for serious harm/death,Number,12.0
173,2003,"Abandoning a child, child neglect and cruelty",Number,48.0
174,2003,Unseaworthy/dangerous use of boat or ship,Number,0.0
175,2003,False alarm/interference with aircraft or air transport facilities,Number,3.0
176,2003,Endangering traffic offences,Number,39.0
177,2003,Kidnapping and related offences,Number,25.0
178,2003,False imprisonment,Number,17.0
179,2003,Abduction of person under 16 years of age,Number,8.0
180,2003,Human trafficking offences,Number,0.0
181,2003,"Robbery, extortion and hijacking offences",Number,698.0
182,2003,Robbery of an establishment or institution,Number,241.0
183,2003,Robbery of cash or goods in transit,Number,9.0
184,2003,Robbery from the person,Number,418.0
185,2003,Blackmail or extortion,Number,10.0
186,2003,"Carjacking, hijacking/unlawful seizure of aircraft/vessel",Number,20.0
187,2003,Burglary and related offences,Number,6297.0
188,2003,Aggravated burglary,Number,83.0
189,2003,Burglary (not aggravated),Number,6159.0
190,2003,"Possession of an article (with intent to burgle, steal, demand)",Number,55.0
191,2003,Theft and related offences,Number,19217.0
192,2003,Theft/taking of vehicle and related offences,Number,3327.0
193,2003,Theft from person,Number,1730.0
