,Year,Type of Offence,UNIT,VALUE
868,2005,Theft from person,Number,1117.0
869,2005,Theft from shop,Number,4416.0
870,2005,"Other thefts, handling stolen property",Number,9335.0
871,2005,"Fraud, deception and related offences",Number,996.0
872,2005,Controlled drug offences,Number,3103.0
873,2005,Importation of drugs,Number,6.0
874,2005,Cultivation or manufacture of drugs,Number,13.0
875,2005,Possession of drugs for sale or supply,Number,622.0
876,2005,Possession of drugs for personal use,Number,2350.0
877,2005,Other drug offences,Number,112.0
878,2005,Weapons and Explosives Offences,Number,657.0
879,2005,"Explosives, chemical weapons offences",Number,50.0
880,2005,Discharging a firearm,Number,88.0
881,2005,Possession of a firearm,Number,85.0
882,2005,Offensive weapons offences (n.e.c.),Number,431.0
883,2005,Fireworks offences,Number,3.0
884,2005,Damage to property and to the environment,Number,11057.0
885,2005,Arson,Number,410.0
886,2005,Criminal damage (not arson),Number,10624.0
887,2005,Litter offences,Number,23.0
888,2005,Public order and other social code offences,Number,14478.0
889,2005,Disorderly conduct,Number,11435.0
890,2005,Trespass offences,Number,463.0
891,2005,Liquor licensing offences,Number,1980.0
892,2005,Prostitution offences,Number,19.0
893,2005,"Regulated betting/money, collection/trading offences",Number,97.0
894,2005,Social code offences (n.e.c.),Number,484.0
895,2005,"Offences against government, justice procedures and organisation of crime",Number,2053.0
896,2005,Offences against government and its agents,Number,37.0
897,2005,Organisation of crime and conspiracy to commit crime,Number,3.0
898,2005,Perverting the course of justice,Number,59.0
899,2005,"Offences while in custody, breach of court orders",Number,1954.0
900,2006,Homicide offences,Number,31.0
901,2006,Murder,Number,12.0
902,2006,Manslaughter,Number,1.0
903,2006,Infanticide,Number,0.0
904,2006,Dangerous driving leading to death,Number,18.0
905,2006,Sexual offences,Number,463.0
906,2006,Rape of a male or female,Number,105.0
907,2006,Defilement of a boy or girl less than 17 years old,Number,33.0
908,2006,Sexual offence involving mentally impaired person,Number,4.0
909,2006,Aggravated sexual assault,Number,5.0
910,2006,Sexual assault (not aggravated),Number,299.0
911,2006,Other sexual offences,Number,17.0
912,2006,"Attempts/threats to murder, assaults, harassments and related offences",Number,3605.0
913,2006,Murder-attempt,Number,3.0
914,2006,Threat to kill or cause serious harm,Number,33.0
915,2006,Harassment and related offences,Number,367.0
916,2006,"Assault causing harm, poisoning",Number,990.0
917,2006,Other assault,Number,2212.0
918,2006,Dangerous or negligent acts,Number,3870.0
919,2006,Dangerous driving causing serious bodily harm,Number,6.0
920,2006,Driving/in charge of a vehicle while over legal alcohol limit,Number,3717.0
921,2006,Driving/in charge of a vehicle under the influence of drugs,Number,28.0
922,2006,Endangerment with potential for serious harm/death,Number,14.0
923,2006,"Abandoning a child, child neglect and cruelty",Number,73.0
924,2006,Unseaworthy/dangerous use of boat or ship,Number,0.0
925,2006,False alarm/interference with aircraft or air transport facilities,Number,4.0
926,2006,Endangering traffic offences,Number,28.0
927,2006,Kidnapping and related offences,Number,23.0
928,2006,False imprisonment,Number,19.0
929,2006,Abduction of person under 16 years of age,Number,4.0
930,2006,Human trafficking offences,Number,0.0
931,2006,"Robbery, extortion and hijacking offences",Number,634.0
932,2006,Robbery of an establishment or institution,Number,335.0
933,2006,Robbery of cash or goods in transit,Number,8.0
934,2006,Robbery from the person,Number,264.0
935,2006,Blackmail or extortion,Number,1.0
936,2006,"Carjacking, hijacking/unlawful seizure of aircraft/vessel",Number,26.0
937,2006,Burglary and related offences,Number,7101.0
938,2006,Aggravated burglary,Number,74.0
939,2006,Burglary (not aggravated),Number,6987.0
940,2006,"Possession of an article (with intent to burgle, steal, demand)",Number,40.0
941,2006,Theft and related offences,Number,19038.0
942,2006,Theft/taking of vehicle and related offences,Number,3636.0
943,2006,Theft from person,Number,858.0
944,2006,Theft from shop,Number,4498.0
945,2006,"Other thefts, handling stolen property",Number,10046.0
946,2006,"Fraud, deception and related offences",Number,1032.0
947,2006,Controlled drug offences,Number,3187.0
948,2006,Importation of drugs,Number,12.0
949,2006,Cultivation or manufacture of drugs,Number,12.0
950,2006,Possession of drugs for sale or supply,Number,674.0
951,2006,Possession of drugs for personal use,Number,2348.0
952,2006,Other drug offences,Number,141.0
953,2006,Weapons and Explosives Offences,Number,645.0
954,2006,"Explosives, chemical weapons offences",Number,9.0
955,2006,Discharging a firearm,Number,60.0
956,2006,Possession of a firearm,Number,100.0
957,2006,Offensive weapons offences (n.e.c.),Number,476.0
958,2006,Fireworks offences,Number,0.0
959,2006,Damage to property and to the environment,Number,10923.0
960,2006,Arson,Number,353.0
961,2006,Criminal damage (not arson),Number,10544.0
962,2006,Litter offences,Number,26.0
963,2006,Public order and other social code offences,Number,12508.0
964,2006,Disorderly conduct,Number,10289.0
965,2006,Trespass offences,Number,491.0
966,2006,Liquor licensing offences,Number,1434.0
967,2006,Prostitution offences,Number,36.0
968,2006,"Regulated betting/money, collection/trading offences",Number,75.0
969,2006,Social code offences (n.e.c.),Number,183.0
970,2006,"Offences against government, justice procedures and organisation of crime",Number,2300.0
971,2006,Offences against government and its agents,Number,63.0
972,2006,Organisation of crime and conspiracy to commit crime,Number,9.0
973,2006,Perverting the course of justice,Number,48.0
974,2006,"Offences while in custody, breach of court orders",Number,2180.0
975,2006,Homicide offences,Number,41.0
976,2006,Murder,Number,14.0
977,2006,Manslaughter,Number,4.0
978,2006,Infanticide,Number,0.0
979,2006,Dangerous driving leading to death,Number,23.0
980,2006,Sexual offences,Number,320.0
981,2006,Rape of a male or female,Number,89.0
982,2006,Defilement of a boy or girl less than 17 years old,Number,12.0
983,2006,Sexual offence involving mentally impaired person,Number,6.0
984,2006,Aggravated sexual assault,Number,0.0
985,2006,Sexual assault (not aggravated),Number,197.0
986,2006,Other sexual offences,Number,16.0
987,2006,"Attempts/threats to murder, assaults, harassments and related offences",Number,3480.0
988,2006,Murder-attempt,Number,2.0
989,2006,Threat to kill or cause serious harm,Number,16.0
990,2006,Harassment and related offences,Number,320.0
991,2006,"Assault causing harm, poisoning",Number,927.0
992,2006,Other assault,Number,2215.0
993,2006,Dangerous or negligent acts,Number,4604.0
994,2006,Dangerous driving causing serious bodily harm,Number,8.0
995,2006,Driving/in charge of a vehicle while over legal alcohol limit,Number,4415.0
996,2006,Driving/in charge of a vehicle under the influence of drugs,Number,27.0
997,2006,Endangerment with potential for serious harm/death,Number,24.0
998,2006,"Abandoning a child, child neglect and cruelty",Number,85.0
999,2006,Unseaworthy/dangerous use of boat or ship,Number,0.0
1000,2006,False alarm/interference with aircraft or air transport facilities,Number,6.0
1001,2006,Endangering traffic offences,Number,39.0
1002,2006,Kidnapping and related offences,Number,20.0
1003,2006,False imprisonment,Number,17.0
1004,2006,Abduction of person under 16 years of age,Number,3.0
1005,2006,Human trafficking offences,Number,0.0
1006,2006,"Robbery, extortion and hijacking offences",Number,649.0
1007,2006,Robbery of an establishment or institution,Number,304.0
1008,2006,Robbery of cash or goods in transit,Number,8.0
1009,2006,Robbery from the person,Number,309.0
1010,2006,Blackmail or extortion,Number,4.0
1011,2006,"Carjacking, hijacking/unlawful seizure of aircraft/vessel",Number,24.0
1012,2006,Burglary and related offences,Number,5567.0
1013,2006,Aggravated burglary,Number,63.0
1014,2006,Burglary (not aggravated),Number,5453.0
1015,2006,"Possession of an article (with intent to burgle, steal, demand)",Number,51.0
1016,2006,Theft and related offences,Number,18522.0
1017,2006,Theft/taking of vehicle and related offences,Number,3423.0
1018,2006,Theft from person,Number,914.0
1019,2006,Theft from shop,Number,4535.0
1020,2006,"Other thefts, handling stolen property",Number,9650.0
1021,2006,"Fraud, deception and related offences",Number,1014.0
1022,2006,Controlled drug offences,Number,3698.0
1023,2006,Importation of drugs,Number,9.0
1024,2006,Cultivation or manufacture of drugs,Number,23.0
1025,2006,Possession of drugs for sale or supply,Number,725.0
1026,2006,Possession of drugs for personal use,Number,2773.0
1027,2006,Other drug offences,Number,168.0
1028,2006,Weapons and Explosives Offences,Number,693.0
1029,2006,"Explosives, chemical weapons offences",Number,4.0
1030,2006,Discharging a firearm,Number,70.0
1031,2006,Possession of a firearm,Number,101.0
1032,2006,Offensive weapons offences (n.e.c.),Number,518.0
1033,2006,Fireworks offences,Number,0.0
1034,2006,Damage to property and to the environment,Number,10680.0
1035,2006,Arson,Number,370.0
1036,2006,Criminal damage (not arson),Number,10273.0
1037,2006,Litter offences,Number,37.0
1038,2006,Public order and other social code offences,Number,13812.0
1039,2006,Disorderly conduct,Number,11369.0
1040,2006,Trespass offences,Number,640.0
1041,2006,Liquor licensing offences,Number,1487.0
1042,2006,Prostitution offences,Number,22.0
1043,2006,"Regulated betting/money, collection/trading offences",Number,103.0
1044,2006,Social code offences (n.e.c.),Number,191.0
1045,2006,"Offences against government, justice procedures and organisation of crime",Number,2415.0
1046,2006,Offences against government and its agents,Number,47.0
1047,2006,Organisation of crime and conspiracy to commit crime,Number,3.0
1048,2006,Perverting the course of justice,Number,60.0
1049,2006,"Offences while in custody, breach of court orders",Number,2305.0
1050,2006,Homicide offences,Number,37.0
1051,2006,Murder,Number,14.0
1052,2006,Manslaughter,Number,7.0
1053,2006,Infanticide,Number,0.0
1054,2006,Dangerous driving leading to death,Number,16.0
1055,2006,Sexual offences,Number,349.0
1056,2006,Rape of a male or female,Number,99.0
1057,2006,Defilement of a boy or girl less than 17 years old,Number,12.0
1058,2006,Sexual offence involving mentally impaired person,Number,3.0
1059,2006,Aggravated sexual assault,Number,5.0
1060,2006,Sexual assault (not aggravated),Number,214.0
1061,2006,Other sexual offences,Number,16.0
1062,2006,"Attempts/threats to murder, assaults, harassments and related offences",Number,4139.0
1063,2006,Murder-attempt,Number,1.0
1064,2006,Threat to kill or cause serious harm,Number,20.0
1065,2006,Harassment and related offences,Number,424.0
1066,2006,"Assault causing harm, poisoning",Number,1040.0
1067,2006,Other assault,Number,2654.0
1068,2006,Dangerous or negligent acts,Number,5165.0
1069,2006,Dangerous driving causing serious bodily harm,Number,5.0
1070,2006,Driving/in charge of a vehicle while over legal alcohol limit,Number,5007.0
1071,2006,Driving/in charge of a vehicle under the influence of drugs,Number,25.0
1072,2006,Endangerment with potential for serious harm/death,Number,19.0
1073,2006,"Abandoning a child, child neglect and cruelty",Number,63.0
1074,2006,Unseaworthy/dangerous use of boat or ship,Number,0.0
1075,2006,False alarm/interference with aircraft or air transport facilities,Number,4.0
1076,2006,Endangering traffic offences,Number,42.0
1077,2006,Kidnapping and related offences,Number,17.0
1078,2006,False imprisonment,Number,15.0
1079,2006,Abduction of person under 16 years of age,Number,2.0
1080,2006,Human trafficking offences,Number,0.0
1081,2006,"Robbery, extortion and hijacking offences",Number,584.0
1082,2006,Robbery of an establishment or institution,Number,211.0
1083,2006,Robbery of cash or goods in transit,Number,7.0
1084,2006,Robbery from the person,Number,342.0
1085,2006,Blackmail or extortion,Number,4.0
1086,2006,"Carjacking, hijacking/unlawful seizure of aircraft/vessel",Number,20.0
1087,2006,Burglary and related offences,Number,5850.0
1088,2006,Aggravated burglary,Number,81.0
1089,2006,Burglary (not aggravated),Number,5688.0
1090,2006,"Possession of an article (with intent to burgle, steal, demand)",Number,81.0
1091,2006,Theft and related offences,Number,19000.0
1092,2006,Theft/taking of vehicle and related offences,Number,3200.0
1093,2006,Theft from person,Number,968.0
1094,2006,Theft from shop,Number,4746.0
1095,2006,"Other thefts, handling stolen property",Number,10086.0
1096,2006,"Fraud, deception and related offences",Number,1142.0
1097,2006,Controlled drug offences,Number,3600.0
1098,2006,Importation of drugs,Number,12.0
1099,2006,Cultivation or manufacture of drugs,Number,37.0
1100,2006,Possession of drugs for sale or supply,Number,765.0
1101,2006,Possession of drugs for personal use,Number,2639.0
1102,2006,Other drug offences,Number,147.0
1103,2006,Weapons and Explosives Offences,Number,817.0
1104,2006,"Explosives, chemical weapons offences",Number,18.0
1105,2006,Discharging a firearm,Number,82.0
1106,2006,Possession of a firearm,Number,106.0
1107,2006,Offensive weapons offences (n.e.c.),Number,610.0
1108,2006,Fireworks offences,Number,1.0
1109,2006,Damage to property and to the environment,Number,10947.0
1110,2006,Arson,Number,478.0
1111,2006,Criminal damage (not arson),Number,10436.0
1112,2006,Litter offences,Number,33.0
1113,2006,Public order and other social code offences,Number,15082.0
1114,2006,Disorderly conduct,Number,12740.0
1115,2006,Trespass offences,Number,624.0
1116,2006,Liquor licensing offences,Number,1353.0
1117,2006,Prostitution offences,Number,24.0
1118,2006,"Regulated betting/money, collection/trading offences",Number,135.0
1119,2006,Social code offences (n.e.c.),Number,206.0
1120,2006,"Offences against government, justice procedures and organisation of crime",Number,2177.0
1121,2006,Offences against government and its agents,Number,47.0
1122,2006,Organisation of crime and conspiracy to commit crime,Number,5.0
1123,2006,Perverting the course of justice,Number,85.0
1124,2006,"Offences while in custody, breach of court orders",Number,2040.0
1125,2006,Homicide offences,Number,35.0
1126,2006,Murder,Number,19.0
1127,2006,Manslaughter,Number,3.0
1128,2006,Infanticide,Number,0.0
1129,2006,Dangerous driving leading to death,Number,13.0
1130,2006,Sexual offences,Number,309.0
1131,2006,Rape of a male or female,Number,72.0
1132,2006,Defilement of a boy or girl less than 17 years old,Number,13.0
1133,2006,Sexual offence involving mentally impaired person,Number,2.0
1134,2006,Aggravated sexual assault,Number,6.0
1135,2006,Sexual assault (not aggravated),Number,206.0
1136,2006,Other sexual offences,Number,10.0
1137,2006,"Attempts/threats to murder, assaults, harassments and related offences",Number,4334.0
1138,2006,Murder-attempt,Number,2.0
1139,2006,Threat to kill or cause serious harm,Number,28.0
1140,2006,Harassment and related offences,Number,558.0
1141,2006,"Assault causing harm, poisoning",Number,1048.0
1142,2006,Other assault,Number,2698.0
1143,2006,Dangerous or negligent acts,Number,5558.0
1144,2006,Dangerous driving causing serious bodily harm,Number,5.0
1145,2006,Driving/in charge of a vehicle while over legal alcohol limit,Number,5380.0
1146,2006,Driving/in charge of a vehicle under the influence of drugs,Number,37.0
1147,2006,Endangerment with potential for serious harm/death,Number,13.0
1148,2006,"Abandoning a child, child neglect and cruelty",Number,79.0
1149,2006,Unseaworthy/dangerous use of boat or ship,Number,0.0
1150,2006,False alarm/interference with aircraft or air transport facilities,Number,2.0
1151,2006,Endangering traffic offences,Number,42.0
1152,2006,Kidnapping and related offences,Number,22.0
1153,2006,False imprisonment,Number,19.0
1154,2006,Abduction of person under 16 years of age,Number,3.0
1155,2006,Human trafficking offences,Number,0.0
1156,2006,"Robbery, extortion and hijacking offences",Number,622.0
1157,2006,Robbery of an establishment or institution,Number,253.0
1158,2006,Robbery of cash or goods in transit,Number,8.0
1159,2006,Robbery from the person,Number,339.0
1160,2006,Blackmail or extortion,Number,2.0
1161,2006,"Carjacking, hijacking/unlawful seizure of aircraft/vessel",Number,20.0
1162,2006,Burglary and related offences,Number,6302.0
1163,2006,Aggravated burglary,Number,67.0
1164,2006,Burglary (not aggravated),Number,6173.0
1165,2006,"Possession of an article (with intent to burgle, steal, demand)",Number,62.0
1166,2006,Theft and related offences,Number,17956.0
1167,2006,Theft/taking of vehicle and related offences,Number,3397.0
1168,2006,Theft from person,Number,850.0
1169,2006,Theft from shop,Number,4656.0
1170,2006,"Other thefts, handling stolen property",Number,9053.0
1171,2006,"Fraud, deception and related offences",Number,1149.0
1172,2006,Controlled drug offences,Number,3745.0
1173,2006,Importation of drugs,Number,10.0
1174,2006,Cultivation or manufacture of drugs,Number,19.0
1175,2006,Possession of drugs for sale or supply,Number,835.0
1176,2006,Possession of drugs for personal use,Number,2731.0
1177,2006,Other drug offences,Number,150.0
1178,2006,Weapons and Explosives Offences,Number,968.0
1179,2006,"Explosives, chemical weapons offences",Number,135.0
1180,2006,Discharging a firearm,Number,85.0
1181,2006,Possession of a firearm,Number,112.0
1182,2006,Offensive weapons offences (n.e.c.),Number,599.0
1183,2006,Fireworks offences,Number,37.0
1184,2006,Damage to property and to the environment,Number,11038.0
1185,2006,Arson,Number,459.0
1186,2006,Criminal damage (not arson),Number,10535.0
1187,2006,Litter offences,Number,44.0
1188,2006,Public order and other social code offences,Number,15195.0
1189,2006,Disorderly conduct,Number,12849.0
1190,2006,Trespass offences,Number,607.0
1191,2006,Liquor licensing offences,Number,1374.0
1192,2006,Prostitution offences,Number,23.0
1193,2006,"Regulated betting/money, collection/trading offences",Number,104.0
1194,2006,Social code offences (n.e.c.),Number,238.0
1195,2006,"Offences against government, justice procedures and organisation of crime",Number,2589.0
1196,2006,Offences against government and its agents,Number,81.0
1197,2006,Organisation of crime and conspiracy to commit crime,Number,2.0
1198,2006,Perverting the course of justice,Number,56.0
1199,2006,"Offences while in custody, breach of court orders",Number,2450.0
1200,2007,Homicide offences,Number,32.0
1201,2007,Murder,Number,13.0
1202,2007,Manslaughter,Number,0.0
1203,2007,Infanticide,Number,0.0
1204,2007,Dangerous driving leading to death,Number,19.0
1205,2007,Sexual offences,Number,392.0
1206,2007,Rape of a male or female,Number,87.0
1207,2007,Defilement of a boy or girl less than 17 years old,Number,25.0
1208,2007,Sexual offence involving mentally impaired person,Number,6.0
1209,2007,Aggravated sexual assault,Number,2.0
1210,2007,Sexual assault (not aggravated),Number,240.0
1211,2007,Other sexual offences,Number,32.0
1212,2007,"Attempts/threats to murder, assaults, harassments and related offences",Number,4224.0
1213,2007,Murder-attempt,Number,1.0
1214,2007,Threat to kill or cause serious harm,Number,40.0
1215,2007,Harassment and related offences,Number,673.0
1216,2007,"Assault causing harm, poisoning",Number,928.0
1217,2007,Other assault,Number,2582.0
1218,2007,Dangerous or negligent acts,Number,4952.0
1219,2007,Dangerous driving causing serious bodily harm,Number,6.0
1220,2007,Driving/in charge of a vehicle while over legal alcohol limit,Number,4755.0
1221,2007,Driving/in charge of a vehicle under the influence of drugs,Number,39.0
1222,2007,Endangerment with potential for serious harm/death,Number,11.0
1223,2007,"Abandoning a child, child neglect and cruelty",Number,89.0
1224,2007,Unseaworthy/dangerous use of boat or ship,Number,0.0
1225,2007,False alarm/interference with aircraft or air transport facilities,Number,3.0
1226,2007,Endangering traffic offences,Number,49.0
1227,2007,Kidnapping and related offences,Number,23.0
1228,2007,False imprisonment,Number,21.0
1229,2007,Abduction of person under 16 years of age,Number,2.0
1230,2007,Human trafficking offences,Number,0.0
1231,2007,"Robbery, extortion and hijacking offences",Number,578.0
1232,2007,Robbery of an establishment or institution,Number,241.0
1233,2007,Robbery of cash or goods in transit,Number,7.0
1234,2007,Robbery from the person,Number,307.0
1235,2007,Blackmail or extortion,Number,6.0
1236,2007,"Carjacking, hijacking/unlawful seizure of aircraft/vessel",Number,17.0
1237,2007,Burglary and related offences,Number,5943.0
1238,2007,Aggravated burglary,Number,65.0
1239,2007,Burglary (not aggravated),Number,5803.0
1240,2007,"Possession of an article (with intent to burgle, steal, demand)",Number,75.0
1241,2007,Theft and related offences,Number,18082.0
1242,2007,Theft/taking of vehicle and related offences,Number,3467.0
1243,2007,Theft from person,Number,728.0
1244,2007,Theft from shop,Number,4474.0
1245,2007,"Other thefts, handling stolen property",Number,9413.0
1246,2007,"Fraud, deception and related offences",Number,1660.0
1247,2007,Controlled drug offences,Number,3956.0
1248,2007,Importation of drugs,Number,14.0
1249,2007,Cultivation or manufacture of drugs,Number,26.0
1250,2007,Possession of drugs for sale or supply,Number,888.0
1251,2007,Possession of drugs for personal use,Number,2848.0
1252,2007,Other drug offences,Number,180.0
1253,2007,Weapons and Explosives Offences,Number,732.0
1254,2007,"Explosives, chemical weapons offences",Number,5.0
1255,2007,Discharging a firearm,Number,90.0
1256,2007,Possession of a firearm,Number,90.0
1257,2007,Offensive weapons offences (n.e.c.),Number,543.0
1258,2007,Fireworks offences,Number,4.0
1259,2007,Damage to property and to the environment,Number,10734.0
1260,2007,Arson,Number,405.0
1261,2007,Criminal damage (not arson),Number,10282.0
1262,2007,Litter offences,Number,47.0
1263,2007,Public order and other social code offences,Number,13813.0
1264,2007,Disorderly conduct,Number,11444.0
1265,2007,Trespass offences,Number,669.0
1266,2007,Liquor licensing offences,Number,1202.0
1267,2007,Prostitution offences,Number,30.0
1268,2007,"Regulated betting/money, collection/trading offences",Number,122.0
1269,2007,Social code offences (n.e.c.),Number,346.0
1270,2007,"Offences against government, justice procedures and organisation of crime",Number,2946.0
1271,2007,Offences against government and its agents,Number,110.0
1272,2007,Organisation of crime and conspiracy to commit crime,Number,2.0
1273,2007,Perverting the course of justice,Number,57.0
1274,2007,"Offences while in custody, breach of court orders",Number,2777.0
1275,2007,Homicide offences,Number,45.0
1276,2007,Murder,Number,22.0
1277,2007,Manslaughter,Number,5.0
1278,2007,Infanticide,Number,0.0
1279,2007,Dangerous driving leading to death,Number,18.0
1280,2007,Sexual offences,Number,331.0
1281,2007,Rape of a male or female,Number,91.0
1282,2007,Defilement of a boy or girl less than 17 years old,Number,13.0
1283,2007,Sexual offence involving mentally impaired person,Number,1.0
1284,2007,Aggravated sexual assault,Number,7.0
1285,2007,Sexual assault (not aggravated),Number,205.0
1286,2007,Other sexual offences,Number,14.0
1287,2007,"Attempts/threats to murder, assaults, harassments and related offences",Number,4474.0
1288,2007,Murder-attempt,Number,0.0
1289,2007,Threat to kill or cause serious harm,Number,33.0
1290,2007,Harassment and related offences,Number,621.0
1291,2007,"Assault causing harm, poisoning",Number,1001.0
1292,2007,Other assault,Number,2819.0
1293,2007,Dangerous or negligent acts,Number,5248.0
1294,2007,Dangerous driving causing serious bodily harm,Number,9.0
1295,2007,Driving/in charge of a vehicle while over legal alcohol limit,Number,4917.0
1296,2007,Driving/in charge of a vehicle under the influence of drugs,Number,68.0
1297,2007,Endangerment with potential for serious harm/death,Number,26.0
1298,2007,"Abandoning a child, child neglect and cruelty",Number,168.0
1299,2007,Unseaworthy/dangerous use of boat or ship,Number,0.0
1300,2007,False alarm/interference with aircraft or air transport facilities,Number,1.0
1301,2007,Endangering traffic offences,Number,59.0
1302,2007,Kidnapping and related offences,Number,26.0
1303,2007,False imprisonment,Number,23.0
1304,2007,Abduction of person under 16 years of age,Number,3.0
1305,2007,Human trafficking offences,Number,0.0
1306,2007,"Robbery, extortion and hijacking offences",Number,477.0
1307,2007,Robbery of an establishment or institution,Number,150.0
1308,2007,Robbery of cash or goods in transit,Number,4.0
1309,2007,Robbery from the person,Number,308.0
1310,2007,Blackmail or extortion,Number,6.0
1311,2007,"Carjacking, hijacking/unlawful seizure of aircraft/vessel",Number,9.0
1312,2007,Burglary and related offences,Number,5190.0
1313,2007,Aggravated burglary,Number,48.0
1314,2007,Burglary (not aggravated),Number,5074.0
1315,2007,"Possession of an article (with intent to burgle, steal, demand)",Number,68.0
1316,2007,Theft and related offences,Number,18847.0
1317,2007,Theft/taking of vehicle and related offences,Number,3279.0
1318,2007,Theft from person,Number,689.0
1319,2007,Theft from shop,Number,4686.0
1320,2007,"Other thefts, handling stolen property",Number,10193.0
1321,2007,"Fraud, deception and related offences",Number,1403.0
1322,2007,Controlled drug offences,Number,4857.0
1323,2007,Importation of drugs,Number,10.0
1324,2007,Cultivation or manufacture of drugs,Number,41.0
1325,2007,Possession of drugs for sale or supply,Number,911.0
1326,2007,Possession of drugs for personal use,Number,3690.0
1327,2007,Other drug offences,Number,205.0
1328,2007,Weapons and Explosives Offences,Number,831.0
1329,2007,"Explosives, chemical weapons offences",Number,9.0
1330,2007,Discharging a firearm,Number,82.0
1331,2007,Possession of a firearm,Number,108.0
1332,2007,Offensive weapons offences (n.e.c.),Number,631.0
1333,2007,Fireworks offences,Number,1.0
1334,2007,Damage to property and to the environment,Number,10779.0
1335,2007,Arson,Number,572.0
1336,2007,Criminal damage (not arson),Number,10138.0
1337,2007,Litter offences,Number,69.0
1338,2007,Public order and other social code offences,Number,15411.0
1339,2007,Disorderly conduct,Number,12906.0
1340,2007,Trespass offences,Number,802.0
1341,2007,Liquor licensing offences,Number,1344.0
1342,2007,Prostitution offences,Number,34.0
1343,2007,"Regulated betting/money, collection/trading offences",Number,162.0
1344,2007,Social code offences (n.e.c.),Number,163.0
1345,2007,"Offences against government, justice procedures and organisation of crime",Number,2729.0
1346,2007,Offences against government and its agents,Number,79.0
1347,2007,Organisation of crime and conspiracy to commit crime,Number,3.0
1348,2007,Perverting the course of justice,Number,42.0
1349,2007,"Offences while in custody, breach of court orders",Number,2605.0
1350,2007,Homicide offences,Number,37.0
1351,2007,Murder,Number,23.0
1352,2007,Manslaughter,Number,0.0
1353,2007,Infanticide,Number,1.0
1354,2007,Dangerous driving leading to death,Number,13.0
1355,2007,Sexual offences,Number,358.0
1356,2007,Rape of a male or female,Number,96.0
1357,2007,Defilement of a boy or girl less than 17 years old,Number,21.0
1358,2007,Sexual offence involving mentally impaired person,Number,3.0
1359,2007,Aggravated sexual assault,Number,6.0
1360,2007,Sexual assault (not aggravated),Number,204.0
1361,2007,Other sexual offences,Number,28.0
1362,2007,"Attempts/threats to murder, assaults, harassments and related offences",Number,4615.0
1363,2007,Murder-attempt,Number,1.0
1364,2007,Threat to kill or cause serious harm,Number,51.0
1365,2007,Harassment and related offences,Number,597.0
1366,2007,"Assault causing harm, poisoning",Number,986.0
1367,2007,Other assault,Number,2980.0
1368,2007,Dangerous or negligent acts,Number,5298.0
1369,2007,Dangerous driving causing serious bodily harm,Number,8.0
1370,2007,Driving/in charge of a vehicle while over legal alcohol limit,Number,4979.0
1371,2007,Driving/in charge of a vehicle under the influence of drugs,Number,68.0
1372,2007,Endangerment with potential for serious harm/death,Number,17.0
1373,2007,"Abandoning a child, child neglect and cruelty",Number,170.0
1374,2007,Unseaworthy/dangerous use of boat or ship,Number,1.0
1375,2007,False alarm/interference with aircraft or air transport facilities,Number,5.0
1376,2007,Endangering traffic offences,Number,50.0
1377,2007,Kidnapping and related offences,Number,27.0
1378,2007,False imprisonment,Number,23.0
1379,2007,Abduction of person under 16 years of age,Number,4.0
1380,2007,Human trafficking offences,Number,0.0
1381,2007,"Robbery, extortion and hijacking offences",Number,574.0
1382,2007,Robbery of an establishment or institution,Number,186.0
1383,2007,Robbery of cash or goods in transit,Number,2.0
1384,2007,Robbery from the person,Number,362.0
1385,2007,Blackmail or extortion,Number,5.0
1386,2007,"Carjacking, hijacking/unlawful seizure of aircraft/vessel",Number,19.0
1387,2007,Burglary and related offences,Number,5925.0
1388,2007,Aggravated burglary,Number,73.0
1389,2007,Burglary (not aggravated),Number,5766.0
1390,2007,"Possession of an article (with intent to burgle, steal, demand)",Number,86.0
1391,2007,Theft and related offences,Number,19364.0
1392,2007,Theft/taking of vehicle and related offences,Number,3405.0
1393,2007,Theft from person,Number,789.0
1394,2007,Theft from shop,Number,4652.0
1395,2007,"Other thefts, handling stolen property",Number,10518.0
1396,2007,"Fraud, deception and related offences",Number,1618.0
1397,2007,Controlled drug offences,Number,5179.0
1398,2007,Importation of drugs,Number,13.0
1399,2007,Cultivation or manufacture of drugs,Number,58.0
1400,2007,Possession of drugs for sale or supply,Number,873.0
1401,2007,Possession of drugs for personal use,Number,4056.0
1402,2007,Other drug offences,Number,179.0
1403,2007,Weapons and Explosives Offences,Number,918.0
1404,2007,"Explosives, chemical weapons offences",Number,7.0
1405,2007,Discharging a firearm,Number,84.0
1406,2007,Possession of a firearm,Number,100.0
1407,2007,Offensive weapons offences (n.e.c.),Number,706.0
1408,2007,Fireworks offences,Number,21.0
1409,2007,Damage to property and to the environment,Number,10625.0
1410,2007,Arson,Number,505.0
1411,2007,Criminal damage (not arson),Number,10072.0
1412,2007,Litter offences,Number,48.0
1413,2007,Public order and other social code offences,Number,15795.0
1414,2007,Disorderly conduct,Number,13303.0
1415,2007,Trespass offences,Number,815.0
1416,2007,Liquor licensing offences,Number,1408.0
1417,2007,Prostitution offences,Number,23.0
1418,2007,"Regulated betting/money, collection/trading offences",Number,123.0
1419,2007,Social code offences (n.e.c.),Number,123.0
1420,2007,"Offences against government, justice procedures and organisation of crime",Number,2574.0
1421,2007,Offences against government and its agents,Number,82.0
