Border
407.3
408.2
410.6
414.8
420.5
425.0
432.5
439.6
449.8
457.5
469.8
483.9
496.5
508.2
511.5
391.9
392.1
393.1
392.0
391.9
393.3
400.3
405.7
409.9
412.0
417.1
422.2
432.1
