"STATISTIC Label","Quarter","Type of Offence","UNIT","VALUE"
"Recorded crime incidents (Under Reservation)","2006Q1","Dangerous driving leading to death","Number","18"
"Recorded crime incidents (Under Reservation)","2006Q1","Sexual offences","Number","463"
"Recorded crime incidents (Under Reservation)","2006Q1","Rape of a male or female","Number","105"
"Recorded crime incidents (Under Reservation)","2006Q1","Defilement of a boy or girl less than 17 years old","Number","33"
"Recorded crime incidents (Under Reservation)","2006Q1","Sexual offence involving mentally impaired person","Number","4"
"Recorded crime incidents (Under Reservation)","2006Q1","Aggravated sexual assault","Number","5"
"Recorded crime incidents (Under Reservation)","2006Q1","Sexual assault (not aggravated)","Number","299"
"Recorded crime incidents (Under Reservation)","2006Q1","Other sexual offences","Number","17"
"Recorded crime incidents (Under Reservation)","2006Q1","Attempts/threats to murder, assaults, harassments and related offences","Number","3605"
"Recorded crime incidents (Under Reservation)","2006Q1","Murder-attempt","Number","3"
"Recorded crime incidents (Under Reservation)","2006Q1","Threat to kill or cause serious harm","Number","33"
"Recorded crime incidents (Under Reservation)","2006Q1","Harassment and related offences","Number","367"
"Recorded crime incidents (Under Reservation)","2006Q1","Assault causing harm, poisoning","Number","990"
"Recorded crime incidents (Under Reservation)","2006Q1","Other assault","Number","2212"
"Recorded crime incidents (Under Reservation)","2006Q1","Dangerous or negligent acts","Number","3870"
"Recorded crime incidents (Under Reservation)","2006Q1","Dangerous driving causing serious bodily harm","Number","6"
"Recorded crime incidents (Under Reservation)","2006Q1","Driving/in charge of a vehicle while over legal alcohol limit","Number","3717"
"Recorded crime incidents (Under Reservation)","2006Q1","Driving/in charge of a vehicle under the influence of drugs","Number","28"
"Recorded crime incidents (Under Reservation)","2006Q1","Endangerment with potential for serious harm/death","Number","14"
"Recorded crime incidents (Under Reservation)","2006Q1","Abandoning a child, child neglect and cruelty","Number","73"
"Recorded crime incidents (Under Reservation)","2006Q1","Unseaworthy/dangerous use of boat or ship","Number","0"
"Recorded crime incidents (Under Reservation)","2006Q1","False alarm/interference with aircraft or air transport facilities","Number","4"
"Recorded crime incidents (Under Reservation)","2006Q1","Endangering traffic offences","Number","28"
"Recorded crime incidents (Under Reservation)","2006Q1","Kidnapping and related offences","Number","23"
"Recorded crime incidents (Under Reservation)","2006Q1","False imprisonment","Number","19"
"Recorded crime incidents (Under Reservation)","2006Q1","Abduction of person under 16 years of age","Number","4"
"Recorded crime incidents (Under Reservation)","2006Q1","Human trafficking offences","Number","0"
"Recorded crime incidents (Under Reservation)","2006Q1","Robbery, extortion and hijacking offences","Number","634"
"Recorded crime incidents (Under Reservation)","2006Q1","Robbery of an establishment or institution","Number","335"
"Recorded crime incidents (Under Reservation)","2006Q1","Robbery of cash or goods in transit","Number","8"
"Recorded crime incidents (Under Reservation)","2006Q1","Robbery from the person","Number","264"
"Recorded crime incidents (Under Reservation)","2006Q1","Blackmail or extortion","Number","1"
"Recorded crime incidents (Under Reservation)","2006Q1","Carjacking, hijacking/unlawful seizure of aircraft/vessel","Number","26"
"Recorded crime incidents (Under Reservation)","2006Q1","Burglary and related offences","Number","7101"
"Recorded crime incidents (Under Reservation)","2006Q1","Aggravated burglary","Number","74"
"Recorded crime incidents (Under Reservation)","2006Q1","Burglary (not aggravated)","Number","6987"
"Recorded crime incidents (Under Reservation)","2006Q1","Possession of an article (with intent to burgle, steal, demand)","Number","40"
"Recorded crime incidents (Under Reservation)","2006Q1","Theft and related offences","Number","19038"
"Recorded crime incidents (Under Reservation)","2006Q1","Theft/taking of vehicle and related offences","Number","3636"
"Recorded crime incidents (Under Reservation)","2006Q1","Theft from person","Number","858"
"Recorded crime incidents (Under Reservation)","2006Q1","Theft from shop","Number","4498"
"Recorded crime incidents (Under Reservation)","2006Q1","Other thefts, handling stolen property","Number","10046"
"Recorded crime incidents (Under Reservation)","2006Q1","Fraud, deception and related offences","Number","1032"
"Recorded crime incidents (Under Reservation)","2006Q1","Controlled drug offences","Number","3187"
"Recorded crime incidents (Under Reservation)","2006Q1","Importation of drugs","Number","12"
"Recorded crime incidents (Under Reservation)","2006Q1","Cultivation or manufacture of drugs","Number","12"
"Recorded crime incidents (Under Reservation)","2006Q1","Possession of drugs for sale or supply","Number","674"
"Recorded crime incidents (Under Reservation)","2006Q1","Possession of drugs for personal use","Number","2348"
"Recorded crime incidents (Under Reservation)","2006Q1","Other drug offences","Number","141"
"Recorded crime incidents (Under Reservation)","2006Q1","Weapons and Explosives Offences","Number","645"
"Recorded crime incidents (Under Reservation)","2006Q1","Explosives, chemical weapons offences","Number","9"
"Recorded crime incidents (Under Reservation)","2006Q1","Discharging a firearm","Number","60"
"Recorded crime incidents (Under Reservation)","2006Q1","Possession of a firearm","Number","100"
"Recorded crime incidents (Under Reservation)","2006Q1","Offensive weapons offences (n.e.c.)","Number","476"
"Recorded crime incidents (Under Reservation)","2006Q1","Fireworks offences","Number","0"
"Recorded crime incidents (Under Reservation)","2006Q1","Damage to property and to the environment","Number","10923"
"Recorded crime incidents (Under Reservation)","2006Q1","Arson","Number","353"
"Recorded crime incidents (Under Reservation)","2006Q1","Criminal damage (not arson)","Number","10544"
"Recorded crime incidents (Under Reservation)","2006Q1","Litter offences","Number","26"
"Recorded crime incidents (Under Reservation)","2006Q1","Public order and other social code offences","Number","12508"
"Recorded crime incidents (Under Reservation)","2006Q1","Disorderly conduct","Number","10289"
"Recorded crime incidents (Under Reservation)","2006Q1","Trespass offences","Number","491"
"Recorded crime incidents (Under Reservation)","2006Q1","Liquor licensing offences","Number","1434"
"Recorded crime incidents (Under Reservation)","2006Q1","Prostitution offences","Number","36"
"Recorded crime incidents (Under Reservation)","2006Q1","Regulated betting/money, collection/trading offences","Number","75"
"Recorded crime incidents (Under Reservation)","2006Q1","Social code offences (n.e.c.)","Number","183"
"Recorded crime incidents (Under Reservation)","2006Q1","Offences against government, justice procedures and organisation of crime","Number","2300"
"Recorded crime incidents (Under Reservation)","2006Q1","Offences against government and its agents","Number","63"
"Recorded crime incidents (Under Reservation)","2006Q1","Organisation of crime and conspiracy to commit crime","Number","9"
"Recorded crime incidents (Under Reservation)","2006Q1","Perverting the course of justice","Number","48"
"Recorded crime incidents (Under Reservation)","2006Q1","Offences while in custody, breach of court orders","Number","2180"
"Recorded crime incidents (Under Reservation)","2006Q2","Homicide offences","Number","41"
"Recorded crime incidents (Under Reservation)","2006Q2","Murder","Number","14"
"Recorded crime incidents (Under Reservation)","2006Q2","Manslaughter","Number","4"
"Recorded crime incidents (Under Reservation)","2006Q2","Infanticide","Number","0"
"Recorded crime incidents (Under Reservation)","2006Q2","Dangerous driving leading to death","Number","23"
"Recorded crime incidents (Under Reservation)","2006Q2","Sexual offences","Number","320"
"Recorded crime incidents (Under Reservation)","2006Q2","Rape of a male or female","Number","89"
"Recorded crime incidents (Under Reservation)","2006Q2","Defilement of a boy or girl less than 17 years old","Number","12"
"Recorded crime incidents (Under Reservation)","2006Q2","Sexual offence involving mentally impaired person","Number","6"
"Recorded crime incidents (Under Reservation)","2006Q2","Aggravated sexual assault","Number","0"
"Recorded crime incidents (Under Reservation)","2006Q2","Sexual assault (not aggravated)","Number","197"
"Recorded crime incidents (Under Reservation)","2006Q2","Other sexual offences","Number","16"
"Recorded crime incidents (Under Reservation)","2006Q2","Attempts/threats to murder, assaults, harassments and related offences","Number","3480"
"Recorded crime incidents (Under Reservation)","2006Q2","Murder-attempt","Number","2"
"Recorded crime incidents (Under Reservation)","2006Q2","Threat to kill or cause serious harm","Number","16"
"Recorded crime incidents (Under Reservation)","2006Q2","Harassment and related offences","Number","320"
"Recorded crime incidents (Under Reservation)","2006Q2","Assault causing harm, poisoning","Number","927"
"Recorded crime incidents (Under Reservation)","2006Q2","Other assault","Number","2215"
"Recorded crime incidents (Under Reservation)","2006Q2","Dangerous or negligent acts","Number","4604"
"Recorded crime incidents (Under Reservation)","2006Q2","Dangerous driving causing serious bodily harm","Number","8"
"Recorded crime incidents (Under Reservation)","2006Q2","Driving/in charge of a vehicle while over legal alcohol limit","Number","4415"
"Recorded crime incidents (Under Reservation)","2006Q2","Driving/in charge of a vehicle under the influence of drugs","Number","27"
"Recorded crime incidents (Under Reservation)","2006Q2","Endangerment with potential for serious harm/death","Number","24"
"Recorded crime incidents (Under Reservation)","2006Q2","Abandoning a child, child neglect and cruelty","Number","85"
"Recorded crime incidents (Under Reservation)","2006Q2","Unseaworthy/dangerous use of boat or ship","Number","0"
"Recorded crime incidents (Under Reservation)","2006Q2","False alarm/interference with aircraft or air transport facilities","Number","6"
"Recorded crime incidents (Under Reservation)","2006Q2","Endangering traffic offences","Number","39"
"Recorded crime incidents (Under Reservation)","2006Q2","Kidnapping and related offences","Number","20"
"Recorded crime incidents (Under Reservation)","2006Q2","False imprisonment","Number","17"
"Recorded crime incidents (Under Reservation)","2006Q2","Abduction of person under 16 years of age","Number","3"
"Recorded crime incidents (Under Reservation)","2006Q2","Human trafficking offences","Number","0"
"Recorded crime incidents (Under Reservation)","2006Q2","Robbery, extortion and hijacking offences","Number","649"
"Recorded crime incidents (Under Reservation)","2006Q2","Robbery of an establishment or institution","Number","304"
"Recorded crime incidents (Under Reservation)","2006Q2","Robbery of cash or goods in transit","Number","8"
"Recorded crime incidents (Under Reservation)","2006Q2","Robbery from the person","Number","309"
"Recorded crime incidents (Under Reservation)","2006Q2","Blackmail or extortion","Number","4"
"Recorded crime incidents (Under Reservation)","2006Q2","Carjacking, hijacking/unlawful seizure of aircraft/vessel","Number","24"
"Recorded crime incidents (Under Reservation)","2006Q2","Burglary and related offences","Number","5567"
"Recorded crime incidents (Under Reservation)","2006Q2","Aggravated burglary","Number","63"
"Recorded crime incidents (Under Reservation)","2006Q2","Burglary (not aggravated)","Number","5453"
"Recorded crime incidents (Under Reservation)","2006Q2","Possession of an article (with intent to burgle, steal, demand)","Number","51"
"Recorded crime incidents (Under Reservation)","2006Q2","Theft and related offences","Number","18522"
"Recorded crime incidents (Under Reservation)","2006Q2","Theft/taking of vehicle and related offences","Number","3423"
"Recorded crime incidents (Under Reservation)","2006Q2","Theft from person","Number","914"
"Recorded crime incidents (Under Reservation)","2006Q2","Theft from shop","Number","4535"
"Recorded crime incidents (Under Reservation)","2006Q2","Other thefts, handling stolen property","Number","9650"
"Recorded crime incidents (Under Reservation)","2006Q2","Fraud, deception and related offences","Number","1014"
"Recorded crime incidents (Under Reservation)","2006Q2","Controlled drug offences","Number","3698"
"Recorded crime incidents (Under Reservation)","2006Q2","Importation of drugs","Number","9"
"Recorded crime incidents (Under Reservation)","2006Q2","Cultivation or manufacture of drugs","Number","23"
"Recorded crime incidents (Under Reservation)","2006Q2","Possession of drugs for sale or supply","Number","725"
"Recorded crime incidents (Under Reservation)","2006Q2","Possession of drugs for personal use","Number","2773"
"Recorded crime incidents (Under Reservation)","2006Q2","Other drug offences","Number","168"
"Recorded crime incidents (Under Reservation)","2006Q2","Weapons and Explosives Offences","Number","693"
"Recorded crime incidents (Under Reservation)","2006Q2","Explosives, chemical weapons offences","Number","4"
"Recorded crime incidents (Under Reservation)","2006Q2","Discharging a firearm","Number","70"
"Recorded crime incidents (Under Reservation)","2006Q2","Possession of a firearm","Number","101"
"Recorded crime incidents (Under Reservation)","2006Q2","Offensive weapons offences (n.e.c.)","Number","518"
"Recorded crime incidents (Under Reservation)","2006Q2","Fireworks offences","Number","0"
"Recorded crime incidents (Under Reservation)","2006Q2","Damage to property and to the environment","Number","10680"
"Recorded crime incidents (Under Reservation)","2006Q2","Arson","Number","370"
"Recorded crime incidents (Under Reservation)","2006Q2","Criminal damage (not arson)","Number","10273"
"Recorded crime incidents (Under Reservation)","2006Q2","Litter offences","Number","37"
"Recorded crime incidents (Under Reservation)","2006Q2","Public order and other social code offences","Number","13812"
"Recorded crime incidents (Under Reservation)","2006Q2","Disorderly conduct","Number","11369"
"Recorded crime incidents (Under Reservation)","2006Q2","Trespass offences","Number","640"
"Recorded crime incidents (Under Reservation)","2006Q2","Liquor licensing offences","Number","1487"
"Recorded crime incidents (Under Reservation)","2006Q2","Prostitution offences","Number","22"
"Recorded crime incidents (Under Reservation)","2006Q2","Regulated betting/money, collection/trading offences","Number","103"
"Recorded crime incidents (Under Reservation)","2006Q2","Social code offences (n.e.c.)","Number","191"
"Recorded crime incidents (Under Reservation)","2006Q2","Offences against government, justice procedures and organisation of crime","Number","2415"
"Recorded crime incidents (Under Reservation)","2006Q2","Offences against government and its agents","Number","47"
"Recorded crime incidents (Under Reservation)","2006Q2","Organisation of crime and conspiracy to commit crime","Number","3"
"Recorded crime incidents (Under Reservation)","2006Q2","Perverting the course of justice","Number","60"
"Recorded crime incidents (Under Reservation)","2006Q2","Offences while in custody, breach of court orders","Number","2305"
"Recorded crime incidents (Under Reservation)","2006Q3","Homicide offences","Number","37"
"Recorded crime incidents (Under Reservation)","2006Q3","Murder","Number","14"
"Recorded crime incidents (Under Reservation)","2006Q3","Manslaughter","Number","7"
"Recorded crime incidents (Under Reservation)","2006Q3","Infanticide","Number","0"
"Recorded crime incidents (Under Reservation)","2006Q3","Dangerous driving leading to death","Number","16"
"Recorded crime incidents (Under Reservation)","2006Q3","Sexual offences","Number","349"
"Recorded crime incidents (Under Reservation)","2006Q3","Rape of a male or female","Number","99"
"Recorded crime incidents (Under Reservation)","2006Q3","Defilement of a boy or girl less than 17 years old","Number","12"
"Recorded crime incidents (Under Reservation)","2006Q3","Sexual offence involving mentally impaired person","Number","3"
"Recorded crime incidents (Under Reservation)","2006Q3","Aggravated sexual assault","Number","5"
"Recorded crime incidents (Under Reservation)","2006Q3","Sexual assault (not aggravated)","Number","214"
"Recorded crime incidents (Under Reservation)","2006Q3","Other sexual offences","Number","16"
"Recorded crime incidents (Under Reservation)","2006Q3","Attempts/threats to murder, assaults, harassments and related offences","Number","4139"
"Recorded crime incidents (Under Reservation)","2006Q3","Murder-attempt","Number","1"
"Recorded crime incidents (Under Reservation)","2006Q3","Threat to kill or cause serious harm","Number","20"
"Recorded crime incidents (Under Reservation)","2006Q3","Harassment and related offences","Number","424"
"Recorded crime incidents (Under Reservation)","2006Q3","Assault causing harm, poisoning","Number","1040"
"Recorded crime incidents (Under Reservation)","2006Q3","Other assault","Number","2654"
"Recorded crime incidents (Under Reservation)","2006Q3","Dangerous or negligent acts","Number","5165"
"Recorded crime incidents (Under Reservation)","2006Q3","Dangerous driving causing serious bodily harm","Number","5"
"Recorded crime incidents (Under Reservation)","2006Q3","Driving/in charge of a vehicle while over legal alcohol limit","Number","5007"
"Recorded crime incidents (Under Reservation)","2006Q3","Driving/in charge of a vehicle under the influence of drugs","Number","25"
"Recorded crime incidents (Under Reservation)","2006Q3","Endangerment with potential for serious harm/death","Number","19"
"Recorded crime incidents (Under Reservation)","2006Q3","Abandoning a child, child neglect and cruelty","Number","63"
"Recorded crime incidents (Under Reservation)","2006Q3","Unseaworthy/dangerous use of boat or ship","Number","0"
"Recorded crime incidents (Under Reservation)","2006Q3","False alarm/interference with aircraft or air transport facilities","Number","4"
"Recorded crime incidents (Under Reservation)","2006Q3","Endangering traffic offences","Number","42"
"Recorded crime incidents (Under Reservation)","2006Q3","Kidnapping and related offences","Number","17"
"Recorded crime incidents (Under Reservation)","2006Q3","False imprisonment","Number","15"
"Recorded crime incidents (Under Reservation)","2006Q3","Abduction of person under 16 years of age","Number","2"
"Recorded crime incidents (Under Reservation)","2006Q3","Human trafficking offences","Number","0"
"Recorded crime incidents (Under Reservation)","2006Q3","Robbery, extortion and hijacking offences","Number","584"
"Recorded crime incidents (Under Reservation)","2006Q3","Robbery of an establishment or institution","Number","211"
"Recorded crime incidents (Under Reservation)","2006Q3","Robbery of cash or goods in transit","Number","7"
"Recorded crime incidents (Under Reservation)","2006Q3","Robbery from the person","Number","342"
"Recorded crime incidents (Under Reservation)","2006Q3","Blackmail or extortion","Number","4"
"Recorded crime incidents (Under Reservation)","2006Q3","Carjacking, hijacking/unlawful seizure of aircraft/vessel","Number","20"
"Recorded crime incidents (Under Reservation)","2006Q3","Burglary and related offences","Number","5850"
"Recorded crime incidents (Under Reservation)","2006Q3","Aggravated burglary","Number","81"
"Recorded crime incidents (Under Reservation)","2006Q3","Burglary (not aggravated)","Number","5688"
"Recorded crime incidents (Under Reservation)","2006Q3","Possession of an article (with intent to burgle, steal, demand)","Number","81"
"Recorded crime incidents (Under Reservation)","2006Q3","Theft and related offences","Number","19000"
"Recorded crime incidents (Under Reservation)","2006Q3","Theft/taking of vehicle and related offences","Number","3200"
"Recorded crime incidents (Under Reservation)","2006Q3","Theft from person","Number","968"
"Recorded crime incidents (Under Reservation)","2006Q3","Theft from shop","Number","4746"
"Recorded crime incidents (Under Reservation)","2006Q3","Other thefts, handling stolen property","Number","10086"
"Recorded crime incidents (Under Reservation)","2006Q3","Fraud, deception and related offences","Number","1142"
"Recorded crime incidents (Under Reservation)","2006Q3","Controlled drug offences","Number","3600"
"Recorded crime incidents (Under Reservation)","2006Q3","Importation of drugs","Number","12"
"Recorded crime incidents (Under Reservation)","2006Q3","Cultivation or manufacture of drugs","Number","37"
"Recorded crime incidents (Under Reservation)","2006Q3","Possession of drugs for sale or supply","Number","765"
"Recorded crime incidents (Under Reservation)","2006Q3","Possession of drugs for personal use","Number","2639"
"Recorded crime incidents (Under Reservation)","2006Q3","Other drug offences","Number","147"
"Recorded crime incidents (Under Reservation)","2006Q3","Weapons and Explosives Offences","Number","817"
"Recorded crime incidents (Under Reservation)","2006Q3","Explosives, chemical weapons offences","Number","18"
"Recorded crime incidents (Under Reservation)","2006Q3","Discharging a firearm","Number","82"
"Recorded crime incidents (Under Reservation)","2006Q3","Possession of a firearm","Number","106"
"Recorded crime incidents (Under Reservation)","2006Q3","Offensive weapons offences (n.e.c.)","Number","610"
"Recorded crime incidents (Under Reservation)","2006Q3","Fireworks offences","Number","1"
"Recorded crime incidents (Under Reservation)","2006Q3","Damage to property and to the environment","Number","10947"
"Recorded crime incidents (Under Reservation)","2006Q3","Arson","Number","478"
"Recorded crime incidents (Under Reservation)","2006Q3","Criminal damage (not arson)","Number","10436"
"Recorded crime incidents (Under Reservation)","2006Q3","Litter offences","Number","33"
"Recorded crime incidents (Under Reservation)","2006Q3","Public order and other social code offences","Number","15082"
"Recorded crime incidents (Under Reservation)","2006Q3","Disorderly conduct","Number","12740"
"Recorded crime incidents (Under Reservation)","2006Q3","Trespass offences","Number","624"
"Recorded crime incidents (Under Reservation)","2006Q3","Liquor licensing offences","Number","1353"
"Recorded crime incidents (Under Reservation)","2006Q3","Prostitution offences","Number","24"
"Recorded crime incidents (Under Reservation)","2006Q3","Regulated betting/money, collection/trading offences","Number","135"
"Recorded crime incidents (Under Reservation)","2006Q3","Social code offences (n.e.c.)","Number","206"
"Recorded crime incidents (Under Reservation)","2006Q3","Offences against government, justice procedures and organisation of crime","Number","2177"
"Recorded crime incidents (Under Reservation)","2006Q3","Offences against government and its agents","Number","47"
"Recorded crime incidents (Under Reservation)","2006Q3","Organisation of crime and conspiracy to commit crime","Number","5"
"Recorded crime incidents (Under Reservation)","2006Q3","Perverting the course of justice","Number","85"
"Recorded crime incidents (Under Reservation)","2006Q3","Offences while in custody, breach of court orders","Number","2040"
"Recorded crime incidents (Under Reservation)","2006Q4","Homicide offences","Number","35"
"Recorded crime incidents (Under Reservation)","2006Q4","Murder","Number","19"
"Recorded crime incidents (Under Reservation)","2006Q4","Manslaughter","Number","3"
"Recorded crime incidents (Under Reservation)","2006Q4","Infanticide","Number","0"
"Recorded crime incidents (Under Reservation)","2006Q4","Dangerous driving leading to death","Number","13"
"Recorded crime incidents (Under Reservation)","2006Q4","Sexual offences","Number","309"
"Recorded crime incidents (Under Reservation)","2006Q4","Rape of a male or female","Number","72"
"Recorded crime incidents (Under Reservation)","2006Q4","Defilement of a boy or girl less than 17 years old","Number","13"
"Recorded crime incidents (Under Reservation)","2006Q4","Sexual offence involving mentally impaired person","Number","2"
"Recorded crime incidents (Under Reservation)","2006Q4","Aggravated sexual assault","Number","6"
"Recorded crime incidents (Under Reservation)","2006Q4","Sexual assault (not aggravated)","Number","206"
"Recorded crime incidents (Under Reservation)","2006Q4","Other sexual offences","Number","10"
"Recorded crime incidents (Under Reservation)","2006Q4","Attempts/threats to murder, assaults, harassments and related offences","Number","4334"
"Recorded crime incidents (Under Reservation)","2006Q4","Murder-attempt","Number","2"
"Recorded crime incidents (Under Reservation)","2006Q4","Threat to kill or cause serious harm","Number","28"
"Recorded crime incidents (Under Reservation)","2006Q4","Harassment and related offences","Number","558"
"Recorded crime incidents (Under Reservation)","2006Q4","Assault causing harm, poisoning","Number","1048"
"Recorded crime incidents (Under Reservation)","2006Q4","Other assault","Number","2698"
"Recorded crime incidents (Under Reservation)","2006Q4","Dangerous or negligent acts","Number","5558"
"Recorded crime incidents (Under Reservation)","2006Q4","Dangerous driving causing serious bodily harm","Number","5"
"Recorded crime incidents (Under Reservation)","2006Q4","Driving/in charge of a vehicle while over legal alcohol limit","Number","5380"
"Recorded crime incidents (Under Reservation)","2006Q4","Driving/in charge of a vehicle under the influence of drugs","Number","37"
"Recorded crime incidents (Under Reservation)","2006Q4","Endangerment with potential for serious harm/death","Number","13"
"Recorded crime incidents (Under Reservation)","2006Q4","Abandoning a child, child neglect and cruelty","Number","79"
"Recorded crime incidents (Under Reservation)","2006Q4","Unseaworthy/dangerous use of boat or ship","Number","0"
"Recorded crime incidents (Under Reservation)","2006Q4","False alarm/interference with aircraft or air transport facilities","Number","2"
"Recorded crime incidents (Under Reservation)","2006Q4","Endangering traffic offences","Number","42"
"Recorded crime incidents (Under Reservation)","2006Q4","Kidnapping and related offences","Number","22"
"Recorded crime incidents (Under Reservation)","2006Q4","False imprisonment","Number","19"
"Recorded crime incidents (Under Reservation)","2006Q4","Abduction of person under 16 years of age","Number","3"
"Recorded crime incidents (Under Reservation)","2006Q4","Human trafficking offences","Number","0"
"Recorded crime incidents (Under Reservation)","2006Q4","Robbery, extortion and hijacking offences","Number","622"
"Recorded crime incidents (Under Reservation)","2006Q4","Robbery of an establishment or institution","Number","253"
"Recorded crime incidents (Under Reservation)","2006Q4","Robbery of cash or goods in transit","Number","8"
"Recorded crime incidents (Under Reservation)","2006Q4","Robbery from the person","Number","339"
"Recorded crime incidents (Under Reservation)","2006Q4","Blackmail or extortion","Number","2"
"Recorded crime incidents (Under Reservation)","2006Q4","Carjacking, hijacking/unlawful seizure of aircraft/vessel","Number","20"
"Recorded crime incidents (Under Reservation)","2006Q4","Burglary and related offences","Number","6302"
"Recorded crime incidents (Under Reservation)","2006Q4","Aggravated burglary","Number","67"
"Recorded crime incidents (Under Reservation)","2006Q4","Burglary (not aggravated)","Number","6173"
"Recorded crime incidents (Under Reservation)","2006Q4","Possession of an article (with intent to burgle, steal, demand)","Number","62"
"Recorded crime incidents (Under Reservation)","2006Q4","Theft and related offences","Number","17956"
"Recorded crime incidents (Under Reservation)","2006Q4","Theft/taking of vehicle and related offences","Number","3397"
"Recorded crime incidents (Under Reservation)","2006Q4","Theft from person","Number","850"
"Recorded crime incidents (Under Reservation)","2006Q4","Theft from shop","Number","4656"
"Recorded crime incidents (Under Reservation)","2006Q4","Other thefts, handling stolen property","Number","9053"
"Recorded crime incidents (Under Reservation)","2006Q4","Fraud, deception and related offences","Number","1149"
"Recorded crime incidents (Under Reservation)","2006Q4","Controlled drug offences","Number","3745"
"Recorded crime incidents (Under Reservation)","2006Q4","Importation of drugs","Number","10"
"Recorded crime incidents (Under Reservation)","2006Q4","Cultivation or manufacture of drugs","Number","19"
"Recorded crime incidents (Under Reservation)","2006Q4","Possession of drugs for sale or supply","Number","835"
"Recorded crime incidents (Under Reservation)","2006Q4","Possession of drugs for personal use","Number","2731"
"Recorded crime incidents (Under Reservation)","2006Q4","Other drug offences","Number","150"
"Recorded crime incidents (Under Reservation)","2006Q4","Weapons and Explosives Offences","Number","968"
"Recorded crime incidents (Under Reservation)","2006Q4","Explosives, chemical weapons offences","Number","135"
"Recorded crime incidents (Under Reservation)","2006Q4","Discharging a firearm","Number","85"
"Recorded crime incidents (Under Reservation)","2006Q4","Possession of a firearm","Number","112"
"Recorded crime incidents (Under Reservation)","2006Q4","Offensive weapons offences (n.e.c.)","Number","599"
"Recorded crime incidents (Under Reservation)","2006Q4","Fireworks offences","Number","37"
"Recorded crime incidents (Under Reservation)","2006Q4","Damage to property and to the environment","Number","11038"
"Recorded crime incidents (Under Reservation)","2006Q4","Arson","Number","459"
"Recorded crime incidents (Under Reservation)","2006Q4","Criminal damage (not arson)","Number","10535"
"Recorded crime incidents (Under Reservation)","2006Q4","Litter offences","Number","44"
"Recorded crime incidents (Under Reservation)","2006Q4","Public order and other social code offences","Number","15195"
"Recorded crime incidents (Under Reservation)","2006Q4","Disorderly conduct","Number","12849"
"Recorded crime incidents (Under Reservation)","2006Q4","Trespass offences","Number","607"
"Recorded crime incidents (Under Reservation)","2006Q4","Liquor licensing offences","Number","1374"
"Recorded crime incidents (Under Reservation)","2006Q4","Prostitution offences","Number","23"
"Recorded crime incidents (Under Reservation)","2006Q4","Regulated betting/money, collection/trading offences","Number","104"
"Recorded crime incidents (Under Reservation)","2006Q4","Social code offences (n.e.c.)","Number","238"
"Recorded crime incidents (Under Reservation)","2006Q4","Offences against government, justice procedures and organisation of crime","Number","2589"
"Recorded crime incidents (Under Reservation)","2006Q4","Offences against government and its agents","Number","81"
"Recorded crime incidents (Under Reservation)","2006Q4","Organisation of crime and conspiracy to commit crime","Number","2"
"Recorded crime incidents (Under Reservation)","2006Q4","Perverting the course of justice","Number","56"
"Recorded crime incidents (Under Reservation)","2006Q4","Offences while in custody, breach of court orders","Number","2450"
"Recorded crime incidents (Under Reservation)","2007Q1","Homicide offences","Number","32"
"Recorded crime incidents (Under Reservation)","2007Q1","Murder","Number","13"
"Recorded crime incidents (Under Reservation)","2007Q1","Manslaughter","Number","0"
"Recorded crime incidents (Under Reservation)","2007Q1","Infanticide","Number","0"
"Recorded crime incidents (Under Reservation)","2007Q1","Dangerous driving leading to death","Number","19"
"Recorded crime incidents (Under Reservation)","2007Q1","Sexual offences","Number","392"
"Recorded crime incidents (Under Reservation)","2007Q1","Rape of a male or female","Number","87"
"Recorded crime incidents (Under Reservation)","2007Q1","Defilement of a boy or girl less than 17 years old","Number","25"
"Recorded crime incidents (Under Reservation)","2007Q1","Sexual offence involving mentally impaired person","Number","6"
"Recorded crime incidents (Under Reservation)","2007Q1","Aggravated sexual assault","Number","2"
"Recorded crime incidents (Under Reservation)","2007Q1","Sexual assault (not aggravated)","Number","240"
"Recorded crime incidents (Under Reservation)","2007Q1","Other sexual offences","Number","32"
"Recorded crime incidents (Under Reservation)","2007Q1","Attempts/threats to murder, assaults, harassments and related offences","Number","4224"
"Recorded crime incidents (Under Reservation)","2007Q1","Murder-attempt","Number","1"
"Recorded crime incidents (Under Reservation)","2007Q1","Threat to kill or cause serious harm","Number","40"
"Recorded crime incidents (Under Reservation)","2007Q1","Harassment and related offences","Number","673"
"Recorded crime incidents (Under Reservation)","2007Q1","Assault causing harm, poisoning","Number","928"
"Recorded crime incidents (Under Reservation)","2007Q1","Other assault","Number","2582"
"Recorded crime incidents (Under Reservation)","2007Q1","Dangerous or negligent acts","Number","4952"
"Recorded crime incidents (Under Reservation)","2007Q1","Dangerous driving causing serious bodily harm","Number","6"
"Recorded crime incidents (Under Reservation)","2007Q1","Driving/in charge of a vehicle while over legal alcohol limit","Number","4755"
"Recorded crime incidents (Under Reservation)","2007Q1","Driving/in charge of a vehicle under the influence of drugs","Number","39"
"Recorded crime incidents (Under Reservation)","2007Q1","Endangerment with potential for serious harm/death","Number","11"
"Recorded crime incidents (Under Reservation)","2007Q1","Abandoning a child, child neglect and cruelty","Number","89"
